lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
1.12;AB_P;3;1-PROPANOL;1;L;ACROS ORGANICS;1;445770010;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR44577~~PDF~~MTR~~CLP1~~EE~~2022-12-16%2004:41:52~~1-Propanol~~
1.12;AB_P;3;2-PROPANOL;2,5;L;J.T.BAKER;1;8067;https://it.vwr.com/assetsvc/asset/en_GB/id/37719144/contents
1.12;AB_E;3;ETHANOL ABSOLUTE;1;L;MERCK;1;1.00986;https://www.sigmaaldrich.com/IT/en/sds/mm/1.00986
1.12;AB_E;3;ETHANOL 99.9%;5;L;COVERSOL;1;-;
1.12;AB_A;3;ISOAMYL ALCOHOL;1;kg;SIGMA-ALDRICH;1;W205702;https://www.sigmaaldrich.com/IT/en/sds/aldrich/w205702
1.12;AB_A;3;ISOAMYL ALCOHOL;1;L;CARLO ERBA;1;413832;https://www.carloerbareagents.com/cerstorefront/medias/CH0360-EU.pdf?context=bWFzdGVyfHNhZmV0eS1kYXRhLXNoZWV0c3w1NTY4ODB8YXBwbGljYXRpb24vcGRmfGFHUmtMMmcyWXk4eE5UUXlNRFV4T1RZeE1qUTBOaTlEU0RBek5qQmZSVlV1Y0dSbXxiOGFkZTBlNzBhMzNkNWRkOGE2MTIzZTc4YTViYjY5ZWNjMDNjYjQzZGE1YjMzOTk5MjFmMDYwMzllZjcwMzI0&attachment=true
1.12;AB_M;3;METHANOL;2,5;L;VWR;1;85800.320;https://it.vwr.com/assetsvc/asset/en_GB/id/22992128/contents
1.12;AB_B;3;tert-BUTYL METHYL ETHER;1;L;VWR;1;85027290;https://it.vwr.com/assetsvc/asset/en_GB/id/16615804/contents
1.12;AB_M;4;2,2,4 TRIMETHYLPENTHANE;1;L;SIGMA-ALDRICH;1;650439;https://www.sigmaaldrich.com/IT/en/sds/sigald/650439
1.12;AB_C;4;CHLOROFORM;1;L;MERCK;1;1.02444.1000;https://www.sigmaaldrich.com/IT/en/sds/mm/1.02444
1.12;AB_C;4;CHLOROFORM;1;L;VWR;1;22706292;https://it.vwr.com/assetsvc/asset/en_GB/id/7902271/contents
1.12;AB_P;4;PETROLEUM ETHER;1;L;SIGMA-ALDRICH;1;184519;https://www.sigmaaldrich.com/IT/en/sds/sigald/184519
1.12;AB_P;4;PHENOL;100;g;SIGMA-ALDRICH;1;P5566;https://www.sigmaaldrich.com/IT/en/sds/sial/p5566
1.12;AB_S;4;SODIUM HYPOCHLORITE SOLUTION;2,5;L;MERCK;1;1.05614.2500;https://www.sigmaaldrich.com/IT/en/sds/mm/1.05614
